experiment,name,validation_threshold,validation_accuracy,validation_sensitivity,validation_specificity,validation_balanced_accuracy,test_accuracy,test_sensitivity,test_specificity,test_balanced_accuracy,test_tp,test_fp,test_tn,test_fn
A,Pretrained frozen baseline,0.45,0.7297297297297297,0.5,0.8695652173913043,0.6847826086956521,0.631578947368421,0.3333333333333333,0.8260869565217391,0.5797101449275363,5,4,19,10
B,Class weights,0.49,0.7027027027027027,0.2857142857142857,0.9565217391304348,0.6211180124223603,0.6578947368421053,0.2,0.9565217391304348,0.5782608695652174,3,1,22,12
C,Layer4 fine-tuning,0.43,0.7837837837837838,0.5714285714285714,0.9130434782608695,0.7422360248447204,0.7631578947368421,0.6666666666666666,0.8260869565217391,0.7463768115942029,10,4,19,5
D,Layer4 + class weights,0.5,0.7837837837837838,0.5,0.9565217391304348,0.7282608695652174,0.7368421052631579,0.5333333333333333,0.8695652173913043,0.7014492753623188,8,3,20,7
E,Training from scratch,0.29,0.7837837837837838,0.6428571428571429,0.8695652173913043,0.7562111801242236,0.6578947368421053,0.5333333333333333,0.7391304347826086,0.636231884057971,8,6,17,7
F,Layer4 + weight decay,0.5,0.8108108108108109,0.5,1.0,0.75,0.7105263157894737,0.3333333333333333,0.9565217391304348,0.644927536231884,5,1,22,10
G,Layer4 + early stopping,0.5,0.8108108108108109,0.5714285714285714,0.9565217391304348,0.7639751552795031,0.6842105263157895,0.3333333333333333,0.9130434782608695,0.6231884057971014,5,2,21,10
H,Layer4 + weight decay + early stopping,0.5,0.7567567567567568,0.5,0.9130434782608695,0.7065217391304348,0.7368421052631579,0.4,0.9565217391304348,0.6782608695652175,6,1,22,9
I,Layer4 + mild intensity scaling,0.44,0.7837837837837838,0.5714285714285714,0.9130434782608695,0.7422360248447204,0.7105263157894737,0.5333333333333333,0.8260869565217391,0.6797101449275362,8,4,19,7
